id,checkin_day,size,orientation,bed,attribute_number,max_guest_number,have_breakfast,cancel_ticket,price
11114,26-11-2018,15,Hướng vườn,1 Giường đôi,11,2,0,1,179000
11114,26-11-2018,20,Hướng vườn,2 Giường đôi,11,4,0,1,179000
11114,27-11-2018,15,Hướng vườn,1 Giường đôi,11,2,0,1,179000
11114,27-11-2018,20,Hướng vườn,2 Giường đôi,11,4,0,1,179000
11114,28-11-2018,15,Hướng vườn,1 Giường đôi,11,2,0,1,179000
11114,28-11-2018,20,Hướng vườn,2 Giường đôi,11,4,0,1,179000
11114,29-11-2018,15,Hướng vườn,1 Giường đôi,11,2,0,1,179000
11114,29-11-2018,20,Hướng vườn,2 Giường đôi,11,4,0,1,179000
11114,30-11-2018,15,Hướng vườn,1 Giường đôi,11,2,0,1,357000
11114,30-11-2018,20,Hướng vườn,2 Giường đôi,11,4,0,1,357000
11114,01-12-2018,15,Hướng vườn,1 Giường đôi,11,2,0,1,357000
11114,01-12-2018,20,Hướng vườn,2 Giường đôi,11,4,0,1,357000
11114,02-12-2018,15,Hướng vườn,1 Giường đôi,11,2,0,1,357000
11114,02-12-2018,20,Hướng vườn,2 Giường đôi,11,4,0,1,357000
12090,26-11-2018,16,Hướng phố,1 Giường đôi,5,2,0,1,139000
12090,26-11-2018,12,Hướng phố,1 Giường đôi,5,1,0,1,139000
12090,26-11-2018,24,Hướng vườn,2 Giường đôi,5,4,0,1,139000
12090,27-11-2018,16,Hướng phố,1 Giường đôi,5,2,0,1,139000
12090,27-11-2018,12,Hướng phố,1 Giường đôi,5,1,0,1,139000
12090,27-11-2018,24,Hướng vườn,2 Giường đôi,5,4,0,1,139000
12090,28-11-2018,16,Hướng phố,1 Giường đôi,5,2,0,1,139000
12090,28-11-2018,12,Hướng phố,1 Giường đôi,5,1,0,1,139000
12090,28-11-2018,24,Hướng vườn,2 Giường đôi,5,4,0,1,139000
12090,29-11-2018,16,Hướng phố,1 Giường đôi,5,2,0,1,139000
12090,29-11-2018,12,Hướng phố,1 Giường đôi,5,1,0,1,139000
12090,29-11-2018,24,Hướng vườn,2 Giường đôi,5,4,0,1,139000
12090,30-11-2018,16,Hướng phố,1 Giường đôi,5,2,0,1,139000
12090,30-11-2018,12,Hướng phố,1 Giường đôi,5,1,0,1,139000
12090,30-11-2018,24,Hướng vườn,2 Giường đôi,5,4,0,1,139000
263,26-11-2018,20,,1 Giường đôi,14,2,1,1,453000
263,26-11-2018,20,,1 Giường đơn,14,1,1,1,453000
263,27-11-2018,20,,1 Giường đôi,14,2,1,1,453000
263,27-11-2018,20,,1 Giường đơn,14,1,1,1,453000
263,28-11-2018,20,,1 Giường đôi,14,2,1,1,453000
263,28-11-2018,20,,1 Giường đơn,14,1,1,1,453000
263,29-11-2018,20,,1 Giường đôi,14,2,1,1,453000
263,29-11-2018,20,,1 Giường đơn,14,1,1,1,453000
263,30-11-2018,20,,1 Giường đôi,14,2,1,1,453000
263,30-11-2018,20,,1 Giường đơn,14,1,1,1,453000
263,01-12-2018,20,,1 Giường đôi,14,2,1,1,453000
263,01-12-2018,20,,1 Giường đơn,14,1,1,1,453000
263,02-12-2018,20,,1 Giường đôi,14,2,1,1,453000
263,02-12-2018,20,,1 Giường đơn,14,1,1,1,453000
13801,26-11-2018,20,,1 Giường đôi,8,2,0,1,294000
13801,26-11-2018,25,,1 Giường đôi,8,2,0,1,294000
13801,26-11-2018,26,,2 Giường đôi,8,4,0,1,294000
13801,27-11-2018,20,,1 Giường đôi,8,2,0,1,294000
13801,27-11-2018,25,,1 Giường đôi,8,2,0,1,294000
13801,27-11-2018,26,,2 Giường đôi,8,4,0,1,294000
13801,28-11-2018,20,,1 Giường đôi,8,2,0,1,294000
13801,28-11-2018,25,,1 Giường đôi,8,2,0,1,294000
13801,28-11-2018,26,,2 Giường đôi,8,4,0,1,294000
13801,29-11-2018,20,,1 Giường đôi,8,2,0,1,294000
13801,29-11-2018,25,,1 Giường đôi,8,2,0,1,294000
13801,29-11-2018,26,,2 Giường đôi,8,4,0,1,294000
13801,30-11-2018,20,,1 Giường đôi,8,2,0,1,294000
13801,30-11-2018,25,,1 Giường đôi,8,2,0,1,294000
13801,30-11-2018,26,,2 Giường đôi,8,4,0,1,294000
13801,01-12-2018,20,,1 Giường đôi,8,2,0,1,294000
13801,01-12-2018,25,,1 Giường đôi,8,2,0,1,294000
13801,01-12-2018,26,,2 Giường đôi,8,4,0,1,294000
13801,02-12-2018,20,,1 Giường đôi,8,2,0,1,294000
13801,02-12-2018,25,,1 Giường đôi,8,2,0,1,294000
13801,02-12-2018,26,,2 Giường đôi,8,4,0,1,294000
329,26-11-2018,28,Hướng vườn,1 Giường đơn / 1 Giường đôi,24,2,1,0,3430000
329,26-11-2018,44,Hướng vườn,1 Giường đơn / 1 Giường đôi,24,2,1,0,3430000
329,26-11-2018,44,Hướng vườn,1 Giường đơn / 1 Giường đôi,24,2,1,0,3430000
329,26-11-2018,90,Hướng vườn,1 Giường đơn / 1 Giường đôi,24,2,1,0,3430000
329,27-11-2018,28,Hướng vườn,1 Giường đơn / 1 Giường đôi,24,2,1,0,3430000
329,27-11-2018,44,Hướng vườn,1 Giường đơn / 1 Giường đôi,24,2,1,0,3430000
329,27-11-2018,44,Hướng vườn,1 Giường đơn / 1 Giường đôi,24,2,1,0,3430000
329,27-11-2018,90,Hướng vườn,1 Giường đơn / 1 Giường đôi,24,2,1,0,3430000
329,28-11-2018,28,Hướng vườn,1 Giường đơn / 1 Giường đôi,24,2,1,0,3430000
329,28-11-2018,44,Hướng vườn,1 Giường đơn / 1 Giường đôi,24,2,1,0,3430000
329,28-11-2018,44,Hướng vườn,1 Giường đơn / 1 Giường đôi,24,2,1,0,3430000
329,28-11-2018,90,Hướng vườn,1 Giường đơn / 1 Giường đôi,24,2,1,0,3430000
329,29-11-2018,28,Hướng vườn,1 Giường đơn / 1 Giường đôi,24,2,1,0,3430000
329,29-11-2018,44,Hướng vườn,1 Giường đơn / 1 Giường đôi,24,2,1,0,3430000
329,29-11-2018,44,Hướng vườn,1 Giường đơn / 1 Giường đôi,24,2,1,0,3430000
329,29-11-2018,90,Hướng vườn,1 Giường đơn / 1 Giường đôi,24,2,1,0,3430000
329,30-11-2018,28,Hướng vườn,1 Giường đơn / 1 Giường đôi,24,2,1,0,3733000
329,30-11-2018,44,Hướng vườn,1 Giường đơn / 1 Giường đôi,24,2,1,0,3733000
329,30-11-2018,44,Hướng vườn,1 Giường đơn / 1 Giường đôi,24,2,1,0,3733000
